NQUEST;Srvyr;DURACAO;Upload;Status;DINI;DFIM;VERSAO;PF1;IDADE1;SEXO;P1;P2;P3;P4;P5;P6;P7;P8;PEA;PARTIDO;ESCOLA;RENDAF;PONTO;PESQ
5874042;tab13;0:11:15;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;51;1;1;1;8;1;2;1;2;2;1;96;7;5;1222;13222
5874047;tab03;0:05:36;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;2;2;2;8;1;1;4;1;99;11;2;5;1;1748;10231
5874076;tab36;0:06:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;5;,5;1;2;4;1;1;2;96;5;2;708;13248
5874079;tab05;0:04:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;55;1;1;1;10;1;2;1;2;1;6;4;6;4;3142;13633
5874082;tab11;0:05:12;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;69;1;3;5;,5;1;2;2;1;2;12;4;1;3;1506;13221
5874089;tab15;0:04:41;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;1;2;3;7;1;2;4;2;1;1;4;2;2;3283;13369
5874101;tab01;0:03:18;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;30;1;2;5;6;1;2;1;2;2;1;96;2;2;40;12729
5874150;tab40;10:32:58;9/17/2013;Approved;9/16/2013;9/17/2013;11;1;16;2;2;3;7;1;99;2;2;1;1;96;6;2;1970;13663
5874158;tab18;0:03:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;41;1;2;4;1;1;2;4;1;1;1;96;4;3;292;13047
5874176;tab24;0:03:40;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;33;2;2;5;,5;1;2;4;2;1;1;96;5;4;2263;13334
5874188;tab31;0:06:38;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;66;2;4;99;99;99;99;4;99;99;7;96;5;1;53;13518
5874193;tab25;0:05:28;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;49;1;2;5;2;1;2;4;1;1;4;95;2;3;688;3261
5874195;tab38;0:04:43;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;77;1;2;4;5;1;2;4;99;99;12;2;1;2;2663;13211
